No,TMNo,EnNo,Name,INOUT,Mode,DateTime
1,1,1,,0,0,7/25/2019 18:11
2,1,1,,0,0,7/25/2019 18:12
3,1,1,,0,0,7/25/2019 18:12
4,1,1,,0,0,7/25/2019 18:12
5,1,1,,0,0,7/25/2019 18:12
6,1,1,,0,0,7/25/2019 18:12
7,1,1,,0,0,7/25/2019 18:12
8,1,1,,0,0,7/25/2019 18:16
9,1,1,,0,0,7/25/2019 18:16
10,1,1,,0,0,7/25/2019 18:16
11,1,1,,0,0,7/25/2019 17:07
12,1,1,,0,0,7/25/2019 17:09
13,1,1,,0,0,7/25/2019 17:10
14,1,1,,0,0,7/25/2019 17:11
15,1,1,,0,0,7/25/2019 17:11
16,1,1,,0,0,7/25/2019 17:11
17,1,1,,0,0,7/25/2019 17:11
18,1,2,,0,0,7/25/2019 17:13
19,1,3,,0,0,7/25/2019 17:15
20,1,4,,0,0,7/25/2019 17:16
21,1,5,,0,0,7/25/2019 17:16
22,1,5,,0,0,7/26/2019 9:22
23,1,2,,0,0,7/26/2019 9:34
24,1,2,,0,0,7/26/2019 9:34
25,1,2,,0,0,7/26/2019 12:28
26,1,4,,0,0,7/29/2019 9:28
27,1,8,,0,0,7/29/2019 18:18
28,1,6,,0,0,7/29/2019 18:18
29,1,7,,0,0,7/29/2019 18:19
30,1,3,,0,0,7/29/2019 18:20
31,1,4,,0,0,7/29/2019 18:40
32,1,1,,0,0,7/29/2019 19:57
33,1,3,,0,0,7/29/2019 19:59
34,1,2,,0,0,7/29/2019 19:59
35,1,9,,0,0,7/30/2019 8:04
36,1,1,,0,0,7/30/2019 8:05
37,1,3,,0,0,7/30/2019 8:06
38,1,5,,0,0,7/30/2019 9:22
39,1,10,,0,0,7/30/2019 9:29
40,1,11,,0,0,7/30/2019 9:30
41,1,12,,0,0,7/30/2019 9:31
42,1,13,,0,0,7/30/2019 9:32
43,1,14,,0,0,7/30/2019 9:33
44,1,15,,0,0,7/30/2019 9:33
45,1,16,,0,0,7/30/2019 9:34
46,1,17,,0,0,7/30/2019 9:35
47,1,18,,0,0,7/30/2019 9:35
48,1,19,,0,0,7/30/2019 9:36
49,1,20,,0,0,7/30/2019 9:37
50,1,21,,0,0,7/30/2019 9:37
51,1,22,,0,0,7/30/2019 9:38
52,1,23,,0,0,7/30/2019 9:39
53,1,24,,0,0,7/30/2019 9:39
54,1,25,,0,0,7/30/2019 14:04
55,1,26,,0,0,7/30/2019 14:05
56,1,27,,0,0,7/30/2019 14:06
57,1,8,,0,0,7/30/2019 16:31
58,1,26,,0,0,7/30/2019 16:56
59,1,28,,0,0,7/30/2019 17:03
60,1,29,,0,0,7/30/2019 17:04
61,1,30,,0,0,7/30/2019 17:04
62,1,31,,0,0,7/30/2019 17:05
63,1,25,,0,0,7/30/2019 17:29
64,1,3,,0,0,7/30/2019 20:13
65,1,10,,0,0,7/31/2019 8:03
66,1,9,,0,0,7/31/2019 8:03
67,1,3,,0,0,7/31/2019 8:03
68,1,14,,0,0,7/31/2019 8:04
69,1,1,,0,0,7/31/2019 8:06
70,1,17,,0,0,7/31/2019 8:11
71,1,18,,0,0,7/31/2019 8:27
72,1,24,,0,0,7/31/2019 8:29
73,1,23,,0,0,7/31/2019 8:29
74,1,4,,0,0,7/31/2019 9:10
75,1,10,,0,0,7/31/2019 9:17
76,1,32,,0,0,7/31/2019 9:25
77,1,5,,0,0,7/31/2019 9:38
78,1,33,,0,0,7/31/2019 9:43
79,1,34,,0,0,7/31/2019 9:45
80,1,35,,0,0,7/31/2019 9:45
81,1,18,,0,0,7/31/2019 9:48
82,1,17,,0,0,7/31/2019 9:49
83,1,26,,0,0,7/31/2019 13:48
84,1,27,,0,0,7/31/2019 13:48
85,1,25,,0,0,7/31/2019 14:05
86,1,28,,0,0,7/31/2019 15:00
87,1,31,,0,0,7/31/2019 15:03
88,1,30,,0,0,7/31/2019 15:05
89,1,27,,0,0,7/31/2019 16:07
90,1,25,,0,0,7/31/2019 16:58
91,1,31,,0,0,7/31/2019 16:59
92,1,30,,0,0,7/31/2019 16:59
93,1,28,,0,0,7/31/2019 16:59
94,1,29,,0,0,7/31/2019 16:59
95,1,9,,0,0,7/31/2019 18:37
96,1,4,,0,0,7/31/2019 18:42
97,1,3,,0,0,7/31/2019 19:59
98,1,11,,0,0,8/1/2019 8:00
99,1,12,,0,0,8/1/2019 8:00
100,1,9,,0,0,8/1/2019 8:01
101,1,20,,0,0,8/1/2019 8:01
102,1,3,,0,0,8/1/2019 8:01
103,1,13,,0,0,8/1/2019 8:02
104,1,1,,0,0,8/1/2019 8:02
105,1,14,,0,0,8/1/2019 8:03
106,1,17,,0,0,8/1/2019 8:09
107,1,32,,0,0,8/1/2019 8:10
108,1,35,,0,0,8/1/2019 8:12
109,1,33,,0,0,8/1/2019 8:28
110,1,18,,0,0,8/1/2019 8:34
111,1,23,,0,0,8/1/2019 8:40
112,1,11,,0,0,8/1/2019 9:11
113,1,32,,0,0,8/1/2019 9:11
114,1,13,,0,0,8/1/2019 9:12
